borough,age_less_20,age_20_24,age_25_29,age_30_34,age_35_39,age_plus_40,nh_total,nh_white_only_ratio,nh_black_only_ratio,nh_other_ratio,h_total,h_white_only_ratio,h_black_only_ratio,medicaid,self_pay,other_insurance,not_stated,total,region
Madison,500,195.7,155.9,44.8,129,90.9,147.9,40.4,NA,43.5,0,0,0,196.72131147540983,555.5555555555555,4000,294.11764705882354,140.57507987220447,Central New York
Monroe,644.7,526.9,388.4,196.1,193.3,306.5,326.5,140.8,590.3,159,282.6,361.8,461.5,274.7194013896312,673.0769230769231,6000,38333.333333333336,320.8644003538481,Finger Lakes
Montgomery,482.8,315.8,139.8,130.7,209.7,136.4,183,151.7,750,41.7,277.8,157.1,NA,194.80519480519482,73.17073170731707,3600,333.3333333333333,203.4188034188034,Capital/Saratoga
Nassau,1153.5,741.3,287.4,113.3,97.5,162.1,215.8,95.9,707,133.2,216.2,36.4,243.5,211.3436866981769,10472.972972972973,9232.758620689654,15666.666666666666,215.89680766736328,Long Island
Niagara,569.9,392.3,217,136.1,191.6,207.5,228.2,157.2,605.5,120,363.6,280.7,250,272.62931034482756,1384.6153846153845,571.4285714285714,7500,235.37941034316094,Western New York
Oneida,698.3,367.4,211.2,152.8,162.3,196.7,264.8,37.7,89.3,37,30.7,13.4,41.7,299.30394431554527,321.42857142857144,4391.304347826087,2333.3333333333335,243.50259896041584,Western Adirondacks
Onondaga,910,527,311.2,180.4,193,245.5,319,148.6,601.6,86.7,242.6,276.3,404.8,352.55670895809305,1571.4285714285713,8642.857142857143,120000,312.88343558282213,Central New York
Ontario,640,285.7,154.7,83.3,178.6,100,165.7,127.2,478.3,105.3,177.6,171.1,0,196.42857142857142,23.809523809523807,8000,17500,167.01030927835052,Finger Lakes
Orange,550.3,266.1,186.4,126.7,140.4,169.8,170.3,108.3,592.6,224.3,245.3,185.6,631.6,146.72992206031853,3772.727272727273,1773.3333333333335,3272.727272727273,187.788906009245,Hudson Valley
Orleans,260.9,109.9,36,63.6,102,0,76.4,54.7,153.8,0,117.6,0,0,74.62686567164178,74.07407407407408,187.5,NA,78.01418439716312,Western New York
Oswego,246.4,156.6,67.4,109,85.3,133.3,111.8,63.1,111.1,83.3,68.2,50,0,127.79552715654951,83.33333333333333,1357.142857142857,2818.1818181818185,110.21069692058347,Western Adirondacks
Otsego,684.2,522.7,176.5,233.9,213.1,538.5,313.7,259,833.3,416.7,151.5,166.7,NA,336.84210526315786,555.5555555555555,28000,809.5238095238095,301.58730158730157,Central New York
Putnam,1000,262.3,158.8,62.3,93.1,76.9,112.3,97.8,111.1,142.9,114.5,150,NA,107.3170731707317,4666.666666666667,6750,NA,112.92346298619825,Hudson Valley
Rensselaer,821.9,619,343.2,199.3,194.6,254.9,318.9,235.1,908.6,187,544.7,338,1136.4,612.5,7000,34000,8000,336.23910336239106,Capital/Saratoga
Rockland,382.1,100.4,95.2,51.5,58.4,55.7,69.2,32.3,354.8,66.9,134.6,338.6,333.3,38.316243928764166,1253.7313432835822,3781.25,20600,81.10470197517915,Westchester/Rockland
St Lawrence,490.2,118.9,122.2,84.6,9.1,130.4,117.5,106.4,1500,131.6,127,115.4,0,200,51.724137931034484,307.69230769230774,76.92307692307693,118.11811811811812,Western Adirondacks
Saratoga,725,447.2,188.9,96.2,72.5,232.6,163.7,157,333.3,98.6,211.8,125,NA,259.02335456475583,1083.3333333333333,13600,5250,165.69200779727095,Capital/Saratoga
Schenectady,1024.1,648,389.5,226.9,330.6,583.3,387.8,264,828.5,365.4,660.1,894.7,2666.7,347.87735849056605,2200,40000,6000,411.96978500871586,Capital/Saratoga
Schoharie,750,244.4,250,131.6,296.3,500,260.7,250,NA,NA,166.7,100,0,258.06451612903226,0,NA,1000,256.0975609756098,Capital/Saratoga
Schuyler,111.1,172.4,120,20,43.5,200,90.9,75.5,NA,0,0,0,0,28.57142857142857,250,1250,NA,90.36144578313252,Finger Lakes
Seneca,352.9,123.7,114.3,51,162.2,0,112.7,87.3,NA,272.7,117.6,111.1,0,146.66666666666666,24.691358024691358,5000,1600,112.94765840220386,Finger Lakes
Steuben,600,222.7,138.6,125.5,200,142.9,179.3,160.6,1444.4,166.7,250,173.9,0,131.10539845758353,35.294117647058826,1303.370786516854,2600,181.46718146718146,Finger Lakes
Suffolk,579.9,450.4,206.1,95.7,92.9,140.6,196.9,146.9,537.5,90.7,138.6,194.5,252.5,144.19416243654823,4610.169491525424,11819.672131147541,6040,177.3215118992067,Long Island
Sullivan,755.6,350.3,237.5,260.1,204.7,204.5,269.2,224.3,581.8,333.3,349.5,600,375,246.47887323943664,10500,3285.714285714286,4000,286.2029646522235,Hudson Valley
Tioga,304.3,122.6,85.4,42,90.9,142.9,90.9,78.3,NA,76.9,250,428.6,0,208.33333333333334,125,1500,1333.3333333333333,94.9367088607595,Central New York
Tompkins,730.8,430,183.7,75.7,115.9,128.2,175.7,152.1,464.3,126.3,288.5,275.9,NA,262.9757785467128,300,6500,1666.6666666666667,184.02282453637662,Central New York
Ulster,836.1,464.8,336.3,184.4,187.3,271.4,292.4,251.4,795.5,214.3,338.6,388.9,307.7,202.0057306590258,2222.222222222222,4476.190476190476,4285.714285714285,300,Hudson Valley
Warren,875,431.8,195.4,117,183.1,384.6,224.8,215.9,1200,150,470.6,307.7,NA,193.13304721030042,3000,7250,2000,232.6454033771107,Capital/Saratoga
Washington,285.7,230.8,175.8,114.1,140.4,333.3,175.8,167,0,250,250,100,0,105.63380281690141,500,3000,6000,177.4193548387097,Capital/Saratoga
Wayne,461.5,188.6,180.3,132.2,169.8,250,181.7,123.9,842.1,111.1,194,108.7,0,156.6579634464752,244.44444444444443,5000,NA,182.6381059751973,Finger Lakes
Westchester,1307.7,911.9,456.2,188.7,169.6,240.8,360.6,140.2,817.1,121.7,273.5,533.6,353.7,301.2412957917045,13181.818181818182,10086.419753086418,59066.66666666667,329.1944276196245,Westchester/Rockland
